fold,run,algorithm,accuracy,precision,recall,f1_score,convergence_speed,best_loss,threshold_reached,fold_threshold
2,30,Hybrid ACOR-LM,0.7652173913043478,0.7744360902255639,0.8110236220472441,0.7923076923076923,0,0.26133418226231186,True,2.4253274422082765
2,31,Hybrid ACOR-LM,0.7739130434782608,0.7952755905511811,0.7952755905511811,0.7952755905511811,6,0.2788085208538116,True,2.4253274422082765
2,32,Hybrid ACOR-LM,0.7782608695652173,0.7878787878787878,0.8188976377952756,0.803088803088803,0,0.2621208065162289,True,2.4253274422082765
2,33,Hybrid ACOR-LM,0.7391304347826086,0.7557251908396947,0.7795275590551181,0.7674418604651163,6,0.22251439356752684,True,2.4253274422082765
2,34,Hybrid ACOR-LM,0.782608695652174,0.8031496062992126,0.8031496062992126,0.8031496062992126,0,0.2426970041697576,True,2.4253274422082765
2,35,Hybrid ACOR-LM,0.8,0.8,0.8503937007874016,0.8244274809160306,0,0.28765474404369973,True,2.4253274422082765
2,36,Hybrid ACOR-LM,0.782608695652174,0.7769784172661871,0.8503937007874016,0.8120300751879699,0,0.2579762117293261,True,2.4253274422082765
2,37,Hybrid ACOR-LM,0.7913043478260869,0.7883211678832117,0.8503937007874016,0.8181818181818182,0,0.26528204279859224,True,2.4253274422082765
2,38,Hybrid ACOR-LM,0.7695652173913043,0.7720588235294118,0.8267716535433071,0.7984790874524715,0,0.2847557860079205,True,2.4253274422082765
2,39,Hybrid ACOR-LM,0.8173913043478261,0.8102189781021898,0.8740157480314961,0.8409090909090909,0,0.293728482684867,True,2.4253274422082765
2,40,Hybrid ACOR-LM,0.7739130434782608,0.7862595419847328,0.8110236220472441,0.7984496124031008,0,0.292549327204552,True,2.4253274422082765
2,41,Hybrid ACOR-LM,0.8,0.7956204379562044,0.8582677165354331,0.8257575757575758,0,0.3012694614386457,True,2.4253274422082765
2,42,Hybrid ACOR-LM,0.8130434782608695,0.8088235294117647,0.8661417322834646,0.8365019011406845,0,0.2908953738154371,True,2.4253274422082765
2,43,Hybrid ACOR-LM,0.7782608695652173,0.7794117647058824,0.8346456692913385,0.8060836501901141,0,0.25707136182113505,True,2.4253274422082765
2,44,Hybrid ACOR-LM,0.7913043478260869,0.8015267175572519,0.8267716535433071,0.813953488372093,0,0.2672658973555846,True,2.4253274422082765
2,45,Hybrid ACOR-LM,0.8173913043478261,0.8102189781021898,0.8740157480314961,0.8409090909090909,0,0.29886733443313024,True,2.4253274422082765
2,46,Hybrid ACOR-LM,0.8173913043478261,0.8148148148148148,0.8661417322834646,0.8396946564885496,0,0.2807183823084062,True,2.4253274422082765
